problem,winner,runner_up,median_winner,median_runner_up,cliffs_delta,magnitude,p_within
BBOB_f1,DE/rand/1/bin F=0.5 CR=0.9 NP=50,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,0.0,0.0,-0.13333333333333333,negligible,0.04186525720058371
BBOB_f2,DE/rand/1/bin F=0.5 CR=0.9 NP=50,CMA-ES/IPOP sigma0=0.3*span ipop=x2,0.0,2.8421709430404014e-14,-0.7666666666666667,large,1.0
BBOB_f3,GA/SBX NP=50 pc=0.9 eta_c=20.0 eta_m=20.0,CMA-ES/IPOP sigma0=0.3*span ipop=x2,0.0126541990115356,4.477313322794458,-1.0,large,3.006634138511715e-11
BBOB_f4,GA/SBX NP=50 pc=0.9 eta_c=20.0 eta_m=20.0,CMA-ES/IPOP sigma0=0.3*span ipop=x2,0.033016942986137054,9.949585533114941,-1.0,large,3.017966798490446e-11
BBOB_f5,DE/rand/1/bin F=0.5 CR=0.9 NP=50,GA/SBX NP=50 pc=0.9 eta_c=20.0 eta_m=20.0,0.0,0.0,0.0,negligible,1.0
BBOB_f6,CMA-ES/IPOP sigma0=0.3*span ipop=x2,DE/rand/1/bin F=0.5 CR=0.9 NP=50,1.2789769243681806e-13,3.4312842842609825e-06,-1.0,large,2.910031731343147e-11
BBOB_f7,CMA-ES/IPOP sigma0=0.3*span ipop=x2,DE/rand/1/bin F=0.5 CR=0.9 NP=50,0.0,0.0,-0.03333333333333333,negligible,0.33371069574356604
BBOB_f8,CMA-ES/IPOP sigma0=0.3*span ipop=x2,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,2.8421709430404014e-14,2.7472527290007633,-1.0,large,1.8672939091105112e-11
BBOB_f9,CMA-ES/IPOP sigma0=0.3*span ipop=x2,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,2.131628207280301e-14,4.403120066289091,-1.0,large,2.2076048846979784e-11
BBOB_f10,CMA-ES/IPOP sigma0=0.3*span ipop=x2,DE/rand/1/bin F=0.5 CR=0.9 NP=50,1.7763568394002505e-14,12.817088362227427,-1.0,large,2.7046566795229525e-11
BBOB_f11,CMA-ES/IPOP sigma0=0.3*span ipop=x2,DE/rand/1/bin F=0.5 CR=0.9 NP=50,1.4210854715202004e-14,0.18361234382798125,-1.0,large,1.5568807063453197e-11
BBOB_f12,CMA-ES/IPOP sigma0=0.3*span ipop=x2,DE/rand/1/bin F=0.5 CR=0.9 NP=50,2.273736754432321e-13,0.21981769088625924,-1.0,large,2.5659231499301873e-11
BBOB_f13,CMA-ES/IPOP sigma0=0.3*span ipop=x2,DE/rand/1/bin F=0.5 CR=0.9 NP=50,5.120899260191436e-10,0.00498996918059005,-1.0,large,3.0198593591621564e-11
BBOB_f14,CMA-ES/IPOP sigma0=0.3*span ipop=x2,DE/rand/1/bin F=0.5 CR=0.9 NP=50,3.424815986363683e-12,2.10211737439181e-06,-1.0,large,3.0198593591621564e-11
BBOB_f15,CMA-ES/IPOP sigma0=0.3*span ipop=x2,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,3.979836228968963,26.366336721860534,-1.0,large,3.017966798490446e-11
BBOB_f16,CMA-ES/IPOP sigma0=0.3*span ipop=x2,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,0.1396894042924614,1.5357029687112629,-0.8755555555555555,large,5.967306094734088e-09
BBOB_f17,CMA-ES/IPOP sigma0=0.3*span ipop=x2,DE/rand/1/bin F=0.5 CR=0.9 NP=50,3.7391021582067197e-05,9.456120729467443e-05,-0.11333333333333333,negligible,0.4552969069031376
BBOB_f18,CMA-ES/IPOP sigma0=0.3*span ipop=x2,DE/rand/1/bin F=0.5 CR=0.9 NP=50,0.0033627743287514,0.0054544386401591,-0.19777777777777777,small,0.19073033347156776
BBOB_f19,CMA-ES/IPOP sigma0=0.3*span ipop=x2,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,0.5360238845017165,2.017091724255451,-0.8511111111111112,large,1.5580751206267113e-08
BBOB_f20,GA/SBX NP=50 pc=0.9 eta_c=20.0 eta_m=20.0,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,0.694342858593302,0.9277861278160913,-0.64,large,2.1327259187186813e-05
BBOB_f21,CMA-ES/IPOP sigma0=0.3*span ipop=x2,DE/rand/1/bin F=0.5 CR=0.9 NP=50,0.9299973892540301,1.2452555353042882,-0.4288888888888889,medium,0.004255430891840865
BBOB_f22,CMA-ES/IPOP sigma0=0.3*span ipop=x2,DE/rand/1/bin F=0.5 CR=0.9 NP=50,1.9549988595233572,1.9549988595233572,0.2688888888888889,small,0.0363272154035773
BBOB_f23,GA/SBX NP=50 pc=0.9 eta_c=20.0 eta_m=20.0,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,0.8521060767458639,0.9377883795388916,-0.27111111111111114,small,0.07244559577423668
BBOB_f24,CMA-ES/IPOP sigma0=0.3*span ipop=x2,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,15.938615214710836,26.653913742723233,-0.9066666666666666,large,1.6947244610469585e-09
