problem,algorithm,median,iqr,min,max,n_runs,solved_1e-8
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,2.8421709430404014e-14,1.421085471520201e-14,1.4210854715202004e-14,7.105427357601003e-14,30,1.0
BBOB_f1,DE/rand/1/bin F=0.5 CR=0.9 NP=50,0.0,0.0,0.0,0.0,30,1.0
BBOB_f1,GA/SBX NP=50 pc=0.9 eta_c=20.0 eta_m=20.0,2.486849741956121e-05,1.7668367686241027e-05,7.5013194731354815e-06,6.897684032480811e-05,30,0.0
BBOB_f1,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,0.0,0.0,0.0,3.797821440000007,30,0.9666666666666667
BBOB_f1,RandomSearch,10.672427304097361,2.790738810610673,2.8244909170079495,14.895584977649676,30,0.0
BBOB_f10,CMA-ES/IPOP sigma0=0.3*span ipop=x2,1.7763568394002505e-14,2.6645352591003763e-14,7.105427357601002e-15,5.684341886080803e-14,30,1.0
BBOB_f10,DE/rand/1/bin F=0.5 CR=0.9 NP=50,12.817088362227427,30.865829151901778,0.0686273221665274,425.86146751744377,30,0.0
BBOB_f10,GA/SBX NP=50 pc=0.9 eta_c=20.0 eta_m=20.0,6553.156070572261,5214.618070691007,610.6078669964918,12043.247355193287,30,0.0
BBOB_f10,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,2484.258935566786,5550.669889626196,197.99358831842855,16011.2303014229,30,0.0
BBOB_f10,RandomSearch,55650.78230689834,22482.52811308432,9658.597366160551,103366.2845747996,30,0.0
BBOB_f11,CMA-ES/IPOP sigma0=0.3*span ipop=x2,1.4210854715202004e-14,1.421085471520201e-14,0.0,5.684341886080803e-14,30,1.0
BBOB_f11,DE/rand/1/bin F=0.5 CR=0.9 NP=50,0.18361234382798125,0.6553835625105506,4.018123533455764e-06,6.985260685525489,30,0.0
BBOB_f11,GA/SBX NP=50 pc=0.9 eta_c=20.0 eta_m=20.0,35.028622944544566,21.239040648850118,15.733461589198242,84.77284917722905,30,0.0
BBOB_f11,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,34.11825861377994,28.399633976137867,6.3568172911248695,93.78038277119715,30,0.0
BBOB_f11,RandomSearch,44.53074530060648,16.917267934415264,25.51804579181602,71.03811504738006,30,0.0
BBOB_f12,CMA-ES/IPOP sigma0=0.3*span ipop=x2,2.273736754432321e-13,2.2737367544323203e-13,0.0,0.0002696628569083,30,0.9666666666666667
BBOB_f12,DE/rand/1/bin F=0.5 CR=0.9 NP=50,0.21981769088625924,0.7991717538292562,0.0029083817800028,20.26621658923682,30,0.0
BBOB_f12,GA/SBX NP=50 pc=0.9 eta_c=20.0 eta_m=20.0,20.432964695345674,40.4858771821483,7.044051336456732,7067.186320510441,30,0.0
BBOB_f12,PSO/constriction N=40 c1=2.05 c2=2.05 chi=0.7298,26.42300276036599,882835.008835028,7.829305309314805e-05,923607.2383161674,30,0.0
BBOB_f12,RandomSearch,10108980.892755385,4061483.4943277705,4128817.058602328,13890531.067417627,30,0.0
BBOB_f13,CMA-ES/IPOP sigma0=0.3*span ipop=x2,5.120899260191436e-10,2.0141044387855796e-09,5.915978817938594e-11,9.417405522071933e-09,30,1.0
BBOB_f13,DE/rand/1/bin F=0.5 CR=0.9 NP=50,0.00498996918059005,0.004448106758137475,0.0010189469374068,0.0939101746592037,30,0.0
BBOB_f13,GA/SBX NP=50 pc=0.9 eta_c=20.0 eta_m=20.0,7.872055138713943,16.174797854974305,0.8127044083820607,42.13079425595379,30,0.0
